iteration_index,iteration_time_s,runtime_s,has_start
0,1623266522.749718,11.3980311,True
1,1623266522.849721,2.2758363,True
2,1623266522.949739,2.3483315,True
3,1623266523.049764,2.6588718,True
4,1623266523.149797,2.3389541,True
5,1623266523.249835,2.2241559,True
6,1623266523.349875,2.2065349,True
7,1623266523.44992,2.5195368,True
8,1623266523.5499558,2.2910307,True
9,1623266523.649984,2.2527473,True
10,1623266523.750015,2.6692322,True
11,1623266523.850061,2.1559405,True
12,1623266523.950115,2.2065687,True
13,1623266524.050169,2.6324314,True
14,1623266524.150215,2.2390016,True
15,1623266524.250252,2.5728766,True
16,1623266524.350286,2.1586906,True
17,1623266524.4503179,2.2165559,True
18,1623266524.5503418,2.2040154,True
19,1623266524.650368,2.5426828,True
20,1623266524.7503898,2.0747153,True
21,1623266524.85042,2.0720479,True
22,1623266524.9504719,2.3904773,True
23,1623266525.050539,2.0170537,True
24,1623266525.150604,2.0319665,True
25,1623266525.2506518,2.3662259,True
26,1623266525.350685,2.1796288,True
27,1623266525.450717,2.0393263,True
28,1623266525.550747,2.3878788,True
29,1623266525.650784,2.0461105,True
30,1623266525.750826,2.1797066,True
31,1623266525.850868,2.5746516,True
32,1623266525.9509158,2.0179678,True
33,1623266526.050972,2.0608522,True
34,1623266526.151027,2.0929961,True
35,1623266526.251067,2.4926279,True
36,1623266526.351079,2.2352099,True
37,1623266526.451074,2.2468621,True
38,1623266526.551056,2.6285066,True
39,1623266526.651023,2.3246702,True
40,1623266526.750973,2.0814485,True
41,1623266526.850904,2.4516086,True
42,1623266526.95083,2.0718519,True
43,1623266527.05075,2.0846192,True
44,1623266527.1506748,2.1148366,True
45,1623266527.2506158,2.5062003,True
46,1623266527.350569,2.134359,True
47,1623266527.450523,2.1744179,True
48,1623266527.5504708,2.5262211,True
49,1623266527.65042,2.1777732,True
50,1623266527.750378,2.1546861,True
51,1623266527.850348,2.1063656,True
52,1623266527.9503129,2.4697502,True
53,1623266528.0502799,2.1523165,True
54,1623266528.150244,2.1473229,True
55,1623266528.250218,2.2129267,True
56,1623266528.3502018,2.6934464,True
57,1623266528.450201,2.3565847,True
58,1623266528.550217,2.3277146,True
59,1623266528.650244,2.2761343,True
60,1623266528.750272,2.6684356,True
61,1623266528.8502948,2.2487361,True
62,1623266528.9503129,2.2162165,True
63,1623266529.05033,2.6217823,True
64,1623266529.1503499,2.2657454,True
65,1623266529.25038,2.2528352,True
66,1623266529.350409,2.2156755,True
67,1623266529.450439,2.5869361,True
68,1623266529.550472,2.3062536,True
69,1623266529.6505048,2.163498,True
70,1623266529.750536,2.1827748,True
71,1623266529.850565,2.1276647,True
72,1623266529.950594,2.4560978,True
73,1623266530.050626,2.1160001,True
74,1623266530.150657,2.0938456,True
75,1623266530.250689,2.0946679,True
76,1623266530.350721,2.5543721,True
77,1623266530.4507499,2.1021183,True
78,1623266530.550772,2.1493657,True
79,1623266530.650796,2.1699597,True
80,1623266530.750824,2.638013,True
81,1623266530.8508608,2.1245249,True
82,1623266530.950896,2.1283593,True
83,1623266531.050932,2.1716786,True
84,1623266531.150971,2.6436029,True
85,1623266531.251014,2.2498808,True
86,1623266531.351069,2.2006801,True
87,1623266531.4511368,2.0685776,True
88,1623266531.551209,2.4812317,True
89,1623266531.6512659,2.175713,True
90,1623266531.751312,2.1729628,True
91,1623266531.851356,2.1559622,True
92,1623266531.951401,2.5815528,True
93,1623266532.051445,2.1586411,True
94,1623266532.1514778,2.113876,True
95,1623266532.251493,2.088728,True
96,1623266532.351497,2.4691384,True
97,1623266532.451495,2.0866152,True
98,1623266532.551482,2.0459073,True
99,1623266532.651444,2.050089,True
100,1623266532.751385,2.6467203,True
101,1623266532.8513138,2.0905344,True
102,1623266532.9512348,2.1414302,True
103,1623266533.051141,2.1070218,True
104,1623266533.151044,2.0758573,True
105,1623266533.250938,2.4392758,True
106,1623266533.350827,2.0765343,True
107,1623266533.4507089,2.1137442,True
108,1623266533.5505939,2.441446,True
109,1623266533.6504889,2.0872004,True
110,1623266533.750398,2.0772979,True
111,1623266533.8503199,2.1685867,True
112,1623266533.950239,2.5821617,True
113,1623266534.050148,2.1315994,True
114,1623266534.1500618,2.0219008,True
115,1623266534.249991,2.0509341,True
116,1623266534.3499398,2.4514875,True
117,1623266534.4499059,2.0233204,True
118,1623266534.5498888,2.1697116,True
119,1623266534.649894,2.1678179,True
120,1623266534.749917,2.5293482,True
121,1623266534.8499448,2.0638778,True
122,1623266534.9499779,2.0683164,True
123,1623266535.050016,2.0514971,True
124,1623266535.150063,2.4617259,True
125,1623266535.250108,2.0635252,True
126,1623266535.3501399,2.0500771,True
127,1623266535.4501438,2.0868736,True
128,1623266535.5501359,2.4907438,True
129,1623266535.650133,2.0209958,True
130,1623266535.75014,2.0472373,True
131,1623266535.8501449,2.1344927,True
132,1623266535.950152,2.4810065,True
133,1623266536.050153,2.0702679,True
134,1623266536.150164,2.0388175,True
135,1623266536.2501988,2.0738495,True
136,1623266536.350261,2.5613386,True
137,1623266536.4503329,2.1528419,True
138,1623266536.550402,2.0411316,True
139,1623266536.650454,2.6537867,True
140,1623266536.7504869,2.3454217,True
141,1623266536.850502,2.1991141,True
142,1623266536.9505038,2.1254183,True
143,1623266537.0504968,2.9653931,True
144,1623266537.150491,2.2344115,True
145,1623266537.250488,2.4955113,True
146,1623266537.3505058,2.2401869,True
147,1623266537.4505398,2.6154183,True
148,1623266537.550572,2.0927291,True
